id,chapters,type,source,url,use,caveat
S048,"16",book,"Arlie Russell Hochschild with Anne Machung, The Second Shift (1989)",https://www.penguinrandomhouse.com/books/80911/the-second-shift-by-arlie-hochschild-with-anne-machung/,"Household labor and adaptation burden","Historical U.S. households; patterns vary across groups and time"
S049,"12",book,"Thomas S. Kuhn, The Structure of Scientific Revolutions (1962)",https://press.uchicago.edu/ucp/books/book/chicago/S/bo13179781.html,"Paradigms and conceptual change","Science-history argument; use cautiously outside science"
S050,"12,20",book,"Karl E. Weick, Sensemaking in Organizations (1995)",https://us.sagepub.com/en-us/nam/sensemaking-in-organizations/book4988,"Organizational interpretation and retrospective sensemaking","Conceptual/organizational theory"
S051,"12",article,"Sheila Jasanoff and Sang-Hyun Kim, sociotechnical imaginaries program",https://press.uchicago.edu/ucp/books/book/chicago/D/bo20836025.html,"Collective visions shaping technology and institutions","Broad STS framework; not a speed metric"
S052,"5",article,"Romanelli and Tushman, Organizational Transformation as Punctuated Equilibrium",https://doi.org/10.5465/256669,"Discontinuous organizational transformation","Industry-specific empirical setting"
S053,"5",book,"Stephen Jay Gould and Niles Eldredge, punctuated equilibrium work",https://www.nature.com/articles/366223a0,"Analogy for episodic versus smooth change","Biological theory; organizational use is metaphorical unless separately evidenced"
S054,"11",article,"Meir M. Lehman, Programs, Life Cycles, and Laws of Software Evolution (1980)",https://doi.org/10.1109/PROC.1980.11805,"Software evolution and continuing change","Historical software engineering context"
S055,"11",conference,"Ward Cunningham, The WyCash Portfolio Management System (1992)",https://c2.com/doc/oopsla92.html,"Origin of technical-debt metaphor","Metaphor has expanded beyond original meaning"
S056,"17",book,"Gene Kim, Jez Humble, Patrick Debois, John Willis, The DevOps Handbook, 2nd ed.",https://itrevolution.com/product/the-devops-handbook-second-edition/,"Small batches, feedback and deployment practices","Practitioner synthesis; use DORA for empirical claims"
S057,"17",book,"Jez Humble and David Farley, Continuous Delivery (2010)",https://www.pearson.com/en-us/subject-catalog/p/continuous-delivery/P200000009239/9780321670250,"Deployment pipeline, automation and staged release","Software-practice source"
S058,"17,19",article,"Sanchez and Mahoney 1996 modularity article",https://doi.org/10.1002/smj.4250171107,"Architecture that isolates change","Duplicate topical use of S022; do not count as independent source"
S059,"19",primary-guidance,"U.S. FDA, Drug Development Process",https://www.fda.gov/patients/learn-about-drug-and-device-approvals/drug-development-process,"Staged evidence and review in drug development","Regulatory stages change over time and differ by pathway"
S060,"19",primary-law,"U.S. Constitution, Article III and amendments; due process context",https://constitution.congress.gov/,"Institutional friction and procedural protections","Legal interpretation requires care; manuscript remains general"
S061,"9,19",report,"National Academies, governance and responsible innovation reports",https://www.nationalacademies.org/topics/technology-and-society,"Technology governance and evidence under uncertainty","Use specific report when making a specific factual claim"
S062,"3,7",book,"Bent Flyvbjerg and Dan Gardner, How Big Things Get Done (2023)",https://www.penguinrandomhouse.com/books/672118/how-big-things-get-done-by-bent-flyvbjerg-and-dan-gardner/,"Long physical-project cycles; modularity and delivery","Trade synthesis; pair with project-data papers for quantitative claims"
S063,"7",article,"Bent Flyvbjerg, What You Should Know About Megaprojects and Why (2014)",https://doi.org/10.1002/pmj.21409,"Megaproject risk, time and cost","Project sample and definitions matter"
S064,"3,7",book,"Vaclav Smil, How the World Really Works (2022)",https://www.penguinrandomhouse.com/books/643565/how-the-world-really-works-by-vaclav-smil/,"Physical infrastructure, energy and material constraints","Broad trade synthesis; verify quantitative claims separately"
S065,"3,7",report,"IEA, electricity grids and secure energy transitions",https://www.iea.org/reports/electricity-grids-and-secure-energy-transitions,"Grid investment, long-lived infrastructure and transition constraints","Current estimates date-sensitive"
S066,"8,14",report,"OECD Skills Outlook",https://www.oecd.org/education/oecd-skills-outlook/,"Skills, adult learning and labor-market transitions","Country comparability and publication-year differences"
S067,"14,16",report,"ILO, World Employment and Social Outlook",https://www.ilo.org/publications/flagship-reports/world-employment-and-social-outlook,"Labor transitions and job quality","Current estimates date-sensitive"
S068,"10",article,"Dirks and Ferrin, Trust in Leadership meta-analysis (2002)",https://doi.org/10.1037/0021-9010.87.4.611,"Trust relationships and organizational outcomes","Meta-analysis of heterogeneous studies"
S069,"10",article,"Colquitt et al., Justice at the Millennium meta-analysis (2001)",https://doi.org/10.1037/0021-9010.86.3.425,"Procedural and distributive justice","Organizational settings; not equivalent to political legitimacy"
S070,"13",article,"Rubinstein, Meyer, Evans, Executive Control of Cognitive Processes in Task Switching (2001)",https://doi.org/10.1037/0096-1523.27.4.763,"Task-switching costs and executive control","Laboratory tasks; avoid translating milliseconds into workplace claims"
S071,"13",book,"Daniel Kahneman, Thinking, Fast and Slow (2011)",https://us.macmillan.com/books/9780374533557/thinkingfastandslow,"Judgment under uncertainty; bounded cognition","Use primary papers for specific experimental claims"
S072,"15",book,"Donald Schön, The Reflective Practitioner (1983)",https://www.routledge.com/The-Reflective-Practitioner-How-Professionals-Think-In-Action/Schon/p/book/9781138458284,"Professional reflection and learning from practice","Conceptual/practice-oriented"
S073,"15",book,"Chris Argyris and Donald Schön, Organizational Learning II (1996)",https://www.pearson.com/en-us/subject-catalog/p/organizational-learning-ii/P200000006152,"Single- and double-loop organizational learning","Conceptual and case-based"
S074,"18",article,"Vakola and Petrou, organizational change / employee reactions literature",https://doi.org/10.4324/9781315386089,"Change burden and employee response","Book-level research collection; use specific studies for quantitative claims"
S075,"18",article,"Bernerth, Walker, Harris, Change fatigue and organizational change research",https://doi.org/10.1016/j.hrmr.2011.11.001,"Repeated change and employee strain","Terminology and measures vary; avoid universal thresholds"
S076,"18",book,"Eliyahu M. Goldratt and Jeff Cox, The Goal (1984)",https://www.toc-goldratt.com/en/product/the-goal-a-process-of-ongoing-improvement-book,"Bottlenecks and flow as practitioner illustration","Business novel; do not use as primary scientific evidence"
S077,"20",book,"Andrew H. Van de Ven et al., The Innovation Journey (1999)",https://global.oup.com/academic/product/the-innovation-journey-9780195139761,"Nonlinear innovation processes and temporal development","Case-rich organizational research"
S078,"20",book,"Kathleen Eisenhardt and Donald Sull, strategy as simple rules literature",https://hbr.org/2001/01/strategy-as-simple-rules,"Adaptive strategy under fast-moving conditions","Practitioner-facing article; pair with academic work where needed"
S079,"20",article,"Kathleen Eisenhardt, Making Fast Strategic Decisions in High-Velocity Environments (1989)",https://doi.org/10.2307/256434,"Fast decision processes can be comprehensive and evidence-rich","Small industry sample; high-velocity context"
S080,"20",article,"Bourgeois and Eisenhardt, Strategic Decision Processes in High Velocity Environments (1988)",https://doi.org/10.1287/mnsc.34.7.816,"Decision speed, politics, information and performance","Computer-industry setting"
