id,source,year,type,used_for,url,notes
S23,"World Bank, Global Findex Database 2025",2025,dataset and report,"Ch 13; Ch 18; Ch 21 digital payments, accounts, mobile ownership and inclusion",https://www.worldbank.org/en/publication/globalfindex/report,"Based on nationally representative surveys across 141 economies conducted in 2024; useful for payment access and digital inclusion."
S24,"European Commission, Digital Markets Act Developer Portal — Interoperability",2026,regulatory guidance,"Ch 14; Ch 19; Ch 23 platform contestability and interoperability",https://digital-markets-act.ec.europa.eu/developer-portal/interoperability_en,"Current EU precedent for requiring gatekeeper interoperability; not a claim that future agent services automatically fall under identical obligations."
S25,"European Commission, DMA smartphone interoperability and data portability case studies",2026,regulatory factsheet,"Ch 19 credible exit, portability and switching costs",https://digital-markets-act.ec.europa.eu/factsheet-how-dma-making-smartphones-better-interoperability-and-data-portability-case-studies-2026-05-11_en,"Concrete 2026 examples of portability/interoperability remedies in mobile ecosystems."
S26,"European Commission, DMA Review Q&A",2026,regulatory review,"Ch 14; Ch 19; Ch 23 evolving gatekeeper policy",https://digital-markets-act.ec.europa.eu/about-dma/dma-review-qa_en,"Provides current Commission assessment of DMA contestability, portability and implementation challenges."
S27,"OECD, Consumer policy and digital technologies",2026,policy portal,"Ch 7; Ch 11-12; Ch 17; Ch 20-21 consumer protection across data, reviews, payments and dark patterns",https://www.oecd.org/en/topics/consumer-policy-and-digital-technologies.html,"Useful overview of current consumer-policy problem areas; prefer underlying studies for specific quantitative claims."
S28,"World Bank, The global internet gap: What the data tells us",2026,institutional data article,"Ch 18 internet-access constraints and global participation",https://blogs.worldbank.org/en/opendata/the-global-internet-gap--what-the-data-tells-us,"Reports that billions remain offline and highlights sharp income-country gaps; use as a current-access snapshot."
S29,"World Bank, World Development Report 2026 press release: AI Offers Lifeline to Developing Economies in an Era of Weak Growth",2026,institutional summary,"Ch 18; Ch 23 current development constraints and opportunity",https://www.worldbank.org/en/news/press-release/2026/08/04/ai-offers-lifeline-to-developing-economies-in-an-era-of-weak-growth,"Fresh 2026 framing of power, connectivity, skills and institutional quality as conditions for broad AI gains; the full report should replace the press summary in a later research pass."
S30,"National Retail Federation and Happy Returns, 2025 Retail Returns Landscape",2025,industry survey,"Ch 20 return volume, online return rates, consumer expectations and fraud",https://nrf.com/research/2025-retail-returns-landscape,"Survey-based industry estimates project $849.9B of returns and a 19.3% online return rate; useful for scale, not an official national ledger."
S31,"European Commission, Ecodesign for Sustainable Products Regulation",2024-2026,regulatory framework,"Ch 20 repairability, lifecycle product information and digital product passports",https://commission.europa.eu/energy-climate-change-environment/standards-tools-and-labels/products-labelling-rules-and-requirements/ecodesign-sustainable-products-regulation_en,"Provides EU policy direction for product durability, circularity and digital product information; implementation is phased and product-specific."
S32,"Consumer Financial Protection Bureau, The Buy Now, Pay Later Market",2025,institutional market report,"Ch 21 BNPL market growth, loan volume and borrower obligations",https://www.consumerfinance.gov/data-research/research-reports/the-buy-now-pay-later-market/,"Uses data from six large BNPL firms for 2022-2023; market structure and regulation continue to evolve."
S33,"Consumer Financial Protection Bureau, Consumer Use of Buy Now, Pay Later and Other Unsecured Debt",2025,institutional research,"Ch 13; Ch 21 simultaneous BNPL loans, borrower credit profiles and fragmented debt",https://www.consumerfinance.gov/data-research/research-reports/consumer-use-of-buy-now-pay-later-and-other-unsecured-debt/,"Matched provider and de-identified credit-record study; supports fragmentation claims without implying BNPL is inherently harmful."
S34,"US EPA, Community Choice Aggregation",2026,government program overview,"Ch 22 demand aggregation and collective purchasing precedent",https://www.epa.gov/green-power-markets/community-choice-aggregation,"Shows local governments aggregating electricity demand under enabling state law; useful as a concrete precedent, not a general template for every market."
S35,"Yizhou Jin and Shoshana Vasserman, Buying Data from Consumers",2021,academic working paper,"Ch 21 telematics, proprietary data, portability and consumer welfare counterevidence",https://www.gsb.stanford.edu/faculty-research/working-papers/buying-data-consumers,"Models and documents how consumer monitoring can improve behavior and welfare while proprietary data can also create switching and incentive tradeoffs."
S36,"Rachel Griffith, Ephraim Leibtag, Andrew Leicester and Aviv Nevo, Consumer Shopping Behavior: How Much Do Consumers Save?",2009,academic review,"Ch 22 household purchasing behavior, bulk buying and outlet choice",https://www.aeaweb.org/articles?id=10.1257%2Fjep.23.2.99,"Empirical review of savings from sales, bulk purchasing, generic brands and outlet choice; useful background for organized demand rather than evidence about future agent coalitions."
S37,"Bank for International Settlements, AI agents for cash management in payment systems",2025,academic and institutional working paper,"Ch 13 household-treasury analogy for sequencing liquidity obligations under constraints",https://www.bis.org/publications/working-paper-1310-ai-agents-cash-management-payment-systems,"Prompt-based experiments test a reasoning model on simulated intraday liquidity management in wholesale payments; useful as a constrained analogy, not evidence that consumer agents should autonomously control household finances."
S38,"Visa, Trusted Agent Protocol",2025-2026,primary protocol documentation,"Ch 4; Ch 12; Ch 16 merchant recognition, agent identity and delegated payment trust",https://developer.visa.com/capabilities/trusted-agent-protocol/overview,"Defines mechanisms for merchants to distinguish approved commerce agents from malicious bots and link agent, consumer/device identity and payment information; vendor protocol evidence, not adoption evidence."
S39,"FIDO Alliance, FIDO Alliance to Develop Standards for Trusted AI Agent Interactions",2026,standards-organization announcement,"Ch 12 agent authentication, authorization and interoperable agentic payment frameworks",https://fidoalliance.org/fido-alliance-to-develop-standards-for-trusted-ai-agent-interactions/,"Documents formation of the Agentic Authentication Technical Working Group and standards work drawing on AP2 and Mastercard Verifiable Intent; specifications are still developing."
S40,"Stripe, Introducing the Machine Payments Protocol",2026,primary protocol documentation,"Ch 12; Ch 16; Ch 23 machine-to-machine payments and software buying digital services",https://stripe.com/blog/machine-payments-protocol,"Describes the open Machine Payments Protocol co-authored by Stripe and Tempo for agent-native payments; proves infrastructure availability, not long-run transaction volume."
S41,"OECD, Competition and consumer policy in digital markets",2026,policy paper,"Ch 14; Ch 19; Ch 23 consumer agency, platform gatekeeping and overlap between competition and consumer protection",https://www.oecd.org/en/publications/competition-and-consumer-policy-in-digital-markets_042c0c49-en.html,"Explicitly discusses agentic AI as potentially expanding or constraining consumer agency and creating new transparency, intermediation and self-preferencing concerns; policy analysis rather than observed long-run market effects."
S42,"Federal Trade Commission, Rule on Unfair or Deceptive Fees and 2025 compliance guidance",2025,regulatory rule and guidance,"Ch 8 total-price disclosure, mandatory fees and machine-comparable offers",https://www.ftc.gov/business-guidance/resources/rule-unfair-or-deceptive-fees-frequently-asked-questions,"Effective May 12 2025 for live-event tickets and short-term lodging. Requires prominent upfront total prices including mandatory calculable fees while allowing limited exclusions and dynamic pricing; scope should not be generalized to all consumer markets."
S43,"U.S. Department of Justice, U.S. and Plaintiff States v. RealPage, Inc. case materials",2024-2026,antitrust enforcement record,"Ch 8 algorithmic pricing, competitively sensitive data and independent pricing",https://www.justice.gov/atr/case/us-and-plaintiff-states-v-realpage-inc,"Case record includes the RealPage proposed settlement in November 2025, Greystar final judgment in March 2026 and Willow Bridge proposed settlement in July 2026. Use for the distinction between ordinary dynamic pricing and alleged coordination through shared competitive data; settlements are case-specific and not a blanket rule against pricing software."
S44,"IFRS Foundation, IFRS 15 Revenue from Contracts with Customers — unexercised customer rights",2024,accounting standard,"Ch 10 breakage and the economics of expected non-redemption",https://www.ifrs.org/content/dam/ifrs/publications/pdf-standards/english/2024/issued/part-a/ifrs-15-revenue-from-contracts-with-customers.pdf?bypass=on,"Paragraphs B44-B47 address customer prepayments and unexercised rights commonly called breakage. Used narrowly to show that expected nonuse can be material to revenue accounting, not to claim every loyalty program follows identical economics."
S45,"Federal Communications Commission, Local Number Portability consumer and implementation materials",2003-2026,regulatory and consumer guidance,"Ch 10 portability as a competition precedent for lowering a specific switching cost",https://consumercomplaints.fcc.gov/hc/en-us,"FCC guidance confirms consumers can generally keep an existing number when switching providers within the same geographic area. Used as a limited analogy for separability of accumulated consumer context, not as a claim that agent memory is technically equivalent to a phone number."
S46,"Federal Trade Commission, Negative Option Rule Advance Notice of Proposed Rulemaking",2026,regulatory rulemaking,"Ch 11 post-vacatur negative-option policy, complaint rates and institutional latency",https://www.ftc.gov/system/files/ftc_gov/pdf/p064202negativeoptionruleanprm.pdf,"March 2026 ANPR records the July 2025 Eighth Circuit vacatur of the amended rule and reports negative-option complaints rising from at least 33 per day in late 2020 to more than 90 per day in 2025. Rulemaking is ongoing; figures are FTC complaint data, not a population prevalence estimate."
S47,"Consumer Financial Protection Bureau, Overdraft and Nonsufficient Fund Fees: Insights from the Making Ends Meet Survey and Consumer Credit Panel",2023,institutional research,"Ch 13 liquidity constraints, overdraft exposure and the limits of optimization",https://www.consumerfinance.gov/data-research/research-reports/overdraft-and-nonsufficient-fund-fees-insights-from-the-making-ends-meet-survey-and-consumer-credit-panel/,"Combines the CFPB Making Ends Meet survey with credit-bureau data and finds greater financial vulnerability among frequent overdraft/NSF households. Used to distinguish avoidable timing errors from underlying resource constraints; U.S.-specific evidence, not a universal household-finance law."
