id,source,year,type,used_for,url,notes
S11,"International Labour Organization, Generative AI and jobs: A 2025 update",2025,research brief,"Ch 18; Ch 21 summary statistics and interpretation",https://www.ilo.org/publications/generative-ai-and-jobs-2025-update,"Accessible companion to the refined global exposure index; useful for checking headline interpretations against the working paper."
S12,"International Energy Agency, Energy demand from AI — Energy and AI",2025,dataset and analysis,"Ch 16; Ch 24 rebound and geographic concentration",https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,"Provides equipment and regional decomposition and highlights grid integration constraints."
S13,"International Energy Agency, Energy supply for AI — Energy and AI",2025,dataset and analysis,"Ch 16; Ch 24 electricity supply mix and investment consequences",https://www.iea.org/reports/energy-and-ai/energy-supply-for-ai,"Useful for separating contractual clean-energy claims from physical grid supply and for testing claims about marginal generation."
S14,"World Bank, Digital Progress and Trends Report 2025: Strengthening AI Foundations — visualizations",2025,data visualizations,"Ch 17; Ch 21 international distribution of compute and connectivity",https://www.worldbank.org/en/publication/dptr2025-ai-foundations/visualizations,"Companion visual evidence for concentration and infrastructure gaps; later editions should record underlying dataset vintages when figures are quoted."
S15,"Stanford HAI, The 2026 AI Index Report — Economy",2026,institutional report,"Ch 3; Ch 6-8; Ch 12; Ch 18; Ch 21 adoption, consumer surplus, productivity and labor-market updates",https://hai.stanford.edu/ai-index/2026-ai-index-report/economy,"Release-refresh source. Reports 88% organizational AI adoption, 53% population-level GenAI adoption, estimated US consumer surplus of $172 billion annually by early 2026, measurable task-level productivity gains, and uneven labor-market effects concentrated partly among younger workers."
S16,"Stanford HAI, The 2026 AI Index Report — Technical Performance",2026,institutional report,"Ch 2; Ch 5; Ch 8; afterword agent capability and benchmark context",https://hai.stanford.edu/ai-index/2026-ai-index-report/technical-performance,"Release-refresh source. Documents rapid agent benchmark progress while preserving a jagged-capability picture and significant failure rates on structured agent tasks."
S17,"International Energy Agency, Key Questions on Energy and AI",2026,institutional report,"Ch 3; Ch 15-16; Ch 24-25 energy-demand refresh",https://www.iea.org/reports/key-questions-on-energy-and-ai,"Release-refresh source published 16 April 2026. Confirms that data-centre electricity use surged in 2025 while efficiency continued improving, preserving the manuscript's rebound framing and grid-bottleneck emphasis."
S18,"Iñaki Aldasoro; Leonardo Gambacorta; Rozalia Pal; Debora Revoltella; Christoph Weiss; Marcin Wolski, AI adoption, productivity and employment: evidence from European firms",2026,BIS working paper,"Ch 12; Ch 18; Ch 21 firm productivity, wages and employment",https://www.bis.org/publications/working-paper-1325-ai-adoption-productivity-and-employment-evidence-european-firms,"Release-refresh source. Finds roughly 4% higher labor productivity among adopting firms, higher wages, and no short-run adverse employment effect, with gains concentrated in medium and large firms and dependent on complementary investment."
S19,"International Labour Organization, New ILO brief explains what AI exposure indicators reveal about jobs",2026,institutional research brief,"Ch 18; Ch 21 interpretation of occupational exposure",https://www.ilo.org/resource/news/new-ilo-brief-explains-what-ai-exposure-indicators-reveal-about-jobs,"Release-refresh source published 17 April 2026. Reinforces the manuscript's distinction between exposure measures and predictions of job loss or realized labor-market outcomes."
S20,"Alex Heath, Sam Altman: OpenAI may reach AGI this year",2026,reported primary-observation feature,"Afterword — The Overnight Shift",https://sources.news/p/sam-altman-openai-agi,"Release-refresh source based on an attended early-August closed preview. Reports Astra as designed to work for days or weeks, remember corrections, collaborate with agents and people, and act across software tools; also reports Altman's stated aspiration for consequential invention. Product timing and final specifications remain subject to change."
S21,"World Bank, World Development Report 2026: The Promise of Artificial Intelligence",2026,institutional report,"Ch 17; Ch 21; Ch 24 global distribution and complementary foundations",https://www.worldbank.org/en/publication/wdr2026,"Release-refresh source. Reinforces that most countries will adopt and adapt rather than train frontier models, and that reliable electricity, internet access, affordable compute, shared data resources, education and business institutions remain necessary complements."
